Dimension: 3
Number of Nodes: 1000000 72 73 78 75 79 74 76 74 72 76 73 72 72 70 72 69 73 81 73 76 75 80 72 79 75 72 73 76 72 72 
Number of Nodes: 2000000 80 80 77 77 79 77 77 81 75 78 78 81 79 77 77 80 79 79 79 80 75 79 74 76 76 75 76 79 79 76 
Number of Nodes: 3000000 81 81 84 77 82 80 79 80 81 76 77 79 85 74 88 82 82 81 81 79 83 77 84 84 81 74 78 76 83 82 
Number of Nodes: 4000000 80 81 82 89 82 79 84 80 80 83 80 84 79 82 78 82 89 83 80 91 79 80 84 85 81 81 80 81 80 80 
Number of Nodes: 5000000 87 83 85 83 79 92 80 87 87 82 81 76 83 82 83 82 87 85 78 83 81 85 78 82 80 82 83 83 80 83 
Number of Nodes: 6000000 83 83 87 88 85 80 82 88 82 83 81 82 86 84 85 81 83 81 83 80 82 82 82 81 88 84 81 78 83 81 
Number of Nodes: 7000000 83 85 84 81 91 83 83 85 89 83 81 84 89 85 83 87 84 87 81 85 79 85 86 86 83 82 83 80 81 84 
Number of Nodes: 8000000 89 86 89 84 81 85 83 84 82 88 87 86 83 83 94 85 93 86 90 89 85 85 84 87 83 92 83 81 87 87 
