Dimension,A.A,B.B,z.z
K2,7.95617985978146,1,0.089496103114745
K3,16.1826010619502,1,0.100681044596953
K4,27.9973886540598,1,0.127182772503503
K5,40.2942767044946,1,0.167382685000412
K6,50.9885403418444,1,0.215320382586516
