Type, K, N, Mean, Variance
Squarish,2,2000,21.0899,0.708033
Squarish,2,4000,22.7197,0.678793
Squarish,2,6000,23.6504,0.794529
Squarish,2,8000,24.2344,0.755217
Squarish,2,10000,24.8862,0.693249
Squarish,2,12000,25.1492,0.57541
Squarish,2,14000,25.4381,0.738032
Squarish,2,16000,25.8169,0.751771
Squarish,2,18000,25.9589,0.671252
Squarish,2,20000,26.2472,0.6611
Squarish,2,22000,26.5023,0.775198
Squarish,2,24000,26.5783,0.658661
Squarish,2,26000,26.9825,0.670621
Squarish,2,28000,26.9038,0.665891
Squarish,2,30000,27.0304,0.567165
Squarish,2,32000,27.3011,0.724687
Squarish,2,34000,27.2644,0.697447
Squarish,2,36000,27.5355,0.72635
Squarish,2,38000,27.5261,0.66806
Squarish,2,40000,27.5908,0.579008
Squarish,2,42000,27.8736,0.733141
Squarish,2,44000,27.9023,0.625445
Squarish,2,46000,27.9451,0.742768
Squarish,2,48000,28.0725,0.810495
Squarish,2,50000,28.2231,0.711169
Squarish,2,52000,28.2104,0.628554
Squarish,2,54000,28.2241,0.691848
Squarish,2,56000,28.3043,0.670365
Squarish,2,58000,28.5913,0.677927
Squarish,2,60000,28.5989,0.632494
Squarish,2,62000,28.5665,0.638458
Squarish,2,64000,28.6444,0.609709
Squarish,2,66000,28.6922,0.638664
Squarish,2,68000,28.8195,0.781537
Squarish,2,70000,28.8154,0.695313
Squarish,2,72000,28.9462,0.581922
Squarish,2,74000,28.9937,0.595835
Squarish,2,76000,29.1027,0.623481
Squarish,2,78000,29.1797,0.641103
Squarish,2,80000,29.0959,0.576284
Squarish,2,82000,29.1999,0.693743
Squarish,2,84000,29.3302,0.645741
Squarish,2,86000,29.1897,0.666295
Squarish,2,88000,29.245,0.635323
Squarish,2,90000,29.4678,0.695393
Squarish,2,92000,29.4009,0.673297
Squarish,2,94000,29.3317,0.58882
Squarish,2,96000,29.5396,0.654629
Squarish,2,98000,29.4951,0.656155
Squarish,2,100000,29.6098,0.662489
