Dimension,A.A,B.B,z.z
K2,7.45861769947564,1,0.118094533566984
K3,14.5827922680406,1,0.142353117001328
K4,22.8451811418918,1,0.179993534915381
K5,31.7309329743243,1,0.222098771355236
K6,38.4505088704119,1,0.270950607831064
