Dimension,A.A,B.B,z.z
K2,8.25750528841307,1,0.0684234782812977
K3,17.5931834316198,1,0.0659364872298911
K4,32.0453743244907,1,0.0844873957760321
K5,49.3901572772153,1,0.117749638586424
K6,68.6088888323056,1,0.158430869690998
