Type, K, N, Mean, Variance
Standard,3,2000,41.1314,2.19072
Standard,3,4000,45.0481,1.94012
Standard,3,6000,47.3254,2.23945
Standard,3,8000,48.9229,2.42909
Standard,3,10000,50.585,2.53303
Standard,3,12000,51.1075,2.12002
Standard,3,14000,52.1187,2.33823
Standard,3,16000,52.7753,2.38091
Standard,3,18000,53.5939,2.87527
Standard,3,20000,54.1891,2.37572
Standard,3,22000,54.2534,2.37804
Standard,3,24000,55.2135,2.5862
Standard,3,26000,55.2123,2.29946
Standard,3,28000,56.0422,2.33476
Standard,3,30000,56.4479,2.74327
Standard,3,32000,56.5379,2.30021
Standard,3,34000,57.0581,2.46614
Standard,3,36000,57.2561,2.49484
Standard,3,38000,57.8303,2.40194
Standard,3,40000,57.2191,2.06453
Standard,3,42000,58.3985,2.43029
Standard,3,44000,58.0551,2.48921
Standard,3,46000,58.7895,2.45047
Standard,3,48000,58.9124,2.48925
Standard,3,50000,59.0901,2.25266
Standard,3,52000,58.8007,2.40299
Standard,3,54000,59.7148,2.73685
Standard,3,56000,59.5577,2.62526
Standard,3,58000,59.8626,2.90855
Standard,3,60000,60.2184,2.43588
Standard,3,62000,60.377,2.21224
Standard,3,64000,59.9252,2.16552
Standard,3,66000,60.4418,2.28917
Standard,3,68000,60.6575,2.26796
Standard,3,70000,60.8076,2.53786
Standard,3,72000,60.5947,2.60891
Standard,3,74000,61.2075,2.63674
Standard,3,76000,61.2966,2.62834
Standard,3,78000,60.9684,2.45467
Standard,3,80000,62.0397,2.67172
Standard,3,82000,62.1006,2.69074
Standard,3,84000,61.8529,2.58916
Standard,3,86000,61.9206,2.71782
Standard,3,88000,62.3049,2.23778
Standard,3,90000,61.9975,2.778
Standard,3,92000,62.1325,2.58066
Standard,3,94000,62.4772,2.75553
Standard,3,96000,62.706,2.8417
Standard,3,98000,62.6482,2.91245
Standard,3,100000,62.7118,2.49637
