Type, K, N, Mean, Variance
Standard,4,2000,76.3467,4.17706
Standard,4,4000,85.5594,3.95885
Standard,4,6000,92.4911,4.52698
Standard,4,8000,95.6926,4.6514
Standard,4,10000,100.702,5.43556
Standard,4,12000,102.079,5.02407
Standard,4,14000,104.681,5.13983
Standard,4,16000,106.114,4.8501
Standard,4,18000,108.969,5.41261
Standard,4,20000,109.974,4.87826
Standard,4,22000,109.683,4.96707
Standard,4,24000,111.773,5.33727
Standard,4,26000,112.475,4.70892
Standard,4,28000,114.495,5.70674
Standard,4,30000,114.934,4.88322
Standard,4,32000,115.811,5.19716
Standard,4,34000,116.753,5.4693
Standard,4,36000,117.776,5.11314
Standard,4,38000,118.986,4.68267
Standard,4,40000,120.216,5.81163
Standard,4,42000,119.695,4.88158
Standard,4,44000,121.162,5.98466
Standard,4,46000,121.247,5.00011
Standard,4,48000,122.033,5.65211
Standard,4,50000,122.691,5.50985
Standard,4,52000,122.092,4.68729
Standard,4,54000,123.177,5.75567
Standard,4,56000,124.308,6.2359
Standard,4,58000,124.401,5.32595
Standard,4,60000,124.899,5.04879
Standard,4,62000,126.743,6.48595
Standard,4,64000,124.334,5.33707
Standard,4,66000,126.295,6.32122
Standard,4,68000,125.76,4.86757
Standard,4,70000,127.102,6.05566
Standard,4,72000,127.228,6.57276
Standard,4,74000,126.958,5.35896
Standard,4,76000,128.012,6.11387
Standard,4,78000,127.877,5.45582
Standard,4,80000,127.865,6.08462
Standard,4,82000,129.628,6.52614
Standard,4,84000,128.697,5.37895
Standard,4,86000,129.527,5.06087
Standard,4,88000,130.538,6.61918
Standard,4,90000,130.648,6.14226
Standard,4,92000,130.592,5.4848
Standard,4,94000,131.15,5.50943
Standard,4,96000,129.658,5.74099
Standard,4,98000,131.144,5.6928
Standard,4,100000,131.859,6.07121
