Type, K, N, Mean, Variance
Relaxed,3,2000,48.867,3.69315
Relaxed,3,4000,54.1975,3.95727
Relaxed,3,6000,59.0176,4.4001
Relaxed,3,8000,60.9548,4.41378
Relaxed,3,10000,63.4869,5.11345
Relaxed,3,12000,65.0501,4.69414
Relaxed,3,14000,66.5925,5.54345
Relaxed,3,16000,68.2523,5.8667
Relaxed,3,18000,68.5827,5.38168
Relaxed,3,20000,71.3355,6.05298
Relaxed,3,22000,70.861,6.1595
Relaxed,3,24000,71.644,5.36031
Relaxed,3,26000,72.1586,5.14521
Relaxed,3,28000,74.1056,5.52091
Relaxed,3,30000,75.1581,6.12107
Relaxed,3,32000,74.1027,5.42825
Relaxed,3,34000,75.0591,5.76089
Relaxed,3,36000,76.0299,5.48267
Relaxed,3,38000,76.07,5.55548
Relaxed,3,40000,75.9751,5.09347
Relaxed,3,42000,76.0129,5.69519
Relaxed,3,44000,77.2085,5.22433
Relaxed,3,46000,78.3224,6.25392
Relaxed,3,48000,78.8692,6.47853
Relaxed,3,50000,79.0886,5.95399
Relaxed,3,52000,80.1224,6.13788
Relaxed,3,54000,79.7151,5.8395
Relaxed,3,56000,79.8786,6.22891
Relaxed,3,58000,80.1207,6.47147
Relaxed,3,60000,81.866,6.42955
Relaxed,3,62000,81.8601,6.22515
Relaxed,3,64000,81.292,5.84064
Relaxed,3,66000,80.3,5.82154
Relaxed,3,68000,82.4301,6.03871
Relaxed,3,70000,82.3241,6.59074
Relaxed,3,72000,83.4546,6.10201
Relaxed,3,74000,84.604,7.72609
Relaxed,3,76000,83.8334,7.12731
Relaxed,3,78000,83.1482,6.77284
Relaxed,3,80000,83.6667,6.66062
Relaxed,3,82000,84.1298,6.3122
Relaxed,3,84000,84.7014,6.97289
Relaxed,3,86000,83.4258,6.8078
Relaxed,3,88000,83.8275,6.16428
Relaxed,3,90000,85.2803,7.32943
Relaxed,3,92000,84.5647,6.74164
Relaxed,3,94000,85.8215,6.98991
Relaxed,3,96000,86.9759,7.61428
Relaxed,3,98000,84.6623,5.97845
Relaxed,3,100000,87.0458,7.03069
