Type, K, N, Mean, Variance
Standard,5,2000,138.331,7.28063
Standard,5,4000,164.041,8.28294
Standard,5,6000,177.722,9.43945
Standard,5,8000,189.248,10.0056
Standard,5,10000,197.771,9.90105
Standard,5,12000,205.742,10.3627
Standard,5,14000,209.496,11.5899
Standard,5,16000,214.817,10.2331
Standard,5,18000,219.537,11.8862
Standard,5,20000,223.878,11.2976
Standard,5,22000,230.376,9.77272
Standard,5,24000,232.102,10.965
Standard,5,26000,234.655,10.5782
Standard,5,28000,236.736,11.3477
Standard,5,30000,239.116,10.3305
Standard,5,32000,243.146,10.9281
Standard,5,34000,244.078,10.9308
Standard,5,36000,245.387,10.3949
Standard,5,38000,249.611,12.6657
Standard,5,40000,248.742,10.3661
Standard,5,42000,249.324,11.8047
Standard,5,44000,252.643,12.312
Standard,5,46000,254.532,12.0667
Standard,5,48000,258.037,13.5303
Standard,5,50000,259.654,12.173
Standard,5,52000,259.28,12.3004
Standard,5,54000,263.179,13.1827
Standard,5,56000,262.938,11.5163
Standard,5,58000,266.899,12.1028
Standard,5,60000,263.408,13.654
Standard,5,62000,265.429,13.2413
Standard,5,64000,265.171,10.2071
Standard,5,66000,267.359,11.2157
Standard,5,68000,270.568,13.6968
Standard,5,70000,270.58,12.8615
Standard,5,72000,271.4,13.1353
Standard,5,74000,273.303,12.0708
Standard,5,76000,277.744,13.7739
Standard,5,78000,275.492,13.0898
Standard,5,80000,279.236,13.9618
Standard,5,82000,280.294,14.8415
Standard,5,84000,279.167,13.2001
Standard,5,86000,279.964,13.979
Standard,5,88000,280.424,13.2682
Standard,5,90000,279.665,11.3101
Standard,5,92000,282.092,12.4821
Standard,5,94000,283.302,12.3078
Standard,5,96000,282.602,11.9542
Standard,5,98000,284.186,12.8419
Standard,5,100000,284.873,11.8565
