Type, K, N, Mean, Variance
Squarish,5,2000,119.499,5.87398
Squarish,5,4000,135.43,6.27695
Squarish,5,6000,144.489,5.13701
Squarish,5,8000,152.584,5.99892
Squarish,5,10000,155.87,5.42416
Squarish,5,12000,160.836,5.52213
Squarish,5,14000,162.055,5.03502
Squarish,5,16000,165.599,5.58681
Squarish,5,18000,167.136,4.77054
Squarish,5,20000,169.36,4.92652
Squarish,5,22000,172.504,5.05136
Squarish,5,24000,174.463,4.74767
Squarish,5,26000,175.089,4.55348
Squarish,5,28000,177.244,4.72891
Squarish,5,30000,179.236,4.72352
Squarish,5,32000,179.588,4.2376
Squarish,5,34000,181.019,4.58295
Squarish,5,36000,182.014,4.92958
Squarish,5,38000,183.264,4.55502
Squarish,5,40000,183.415,3.92287
Squarish,5,42000,186.414,4.39339
Squarish,5,44000,184.949,4.44556
Squarish,5,46000,186.637,4.33437
Squarish,5,48000,186.196,4.0718
Squarish,5,50000,187.848,4.3648
Squarish,5,52000,189.301,4.79995
Squarish,5,54000,188.569,4.03951
Squarish,5,56000,191.27,4.8063
Squarish,5,58000,191.261,4.87442
Squarish,5,60000,191.376,3.85003
Squarish,5,62000,193.166,4.23452
Squarish,5,64000,192.645,4.41686
Squarish,5,66000,194.969,3.8758
Squarish,5,68000,193.665,4.44204
Squarish,5,70000,194.696,4.53207
Squarish,5,72000,193.657,3.90544
Squarish,5,74000,196.083,4.76762
Squarish,5,76000,196.021,4.73084
Squarish,5,78000,197.061,3.82807
Squarish,5,80000,197.427,4.59857
Squarish,5,82000,197.494,4.14718
Squarish,5,84000,197.202,4.09224
Squarish,5,86000,198.276,3.9425
Squarish,5,88000,198.092,3.43916
Squarish,5,90000,197.864,3.41497
Squarish,5,92000,199.451,3.51912
Squarish,5,94000,201.097,4.13251
Squarish,5,96000,200.49,4.01607
Squarish,5,98000,200.16,4.29682
Squarish,5,100000,201.506,4.1668
