Type, K, N, Mean, Variance
Relaxed,4,2000,91.6742,6.57085
Relaxed,4,4000,106.933,8.38135
Relaxed,4,6000,118.394,9.2012
Relaxed,4,8000,123.249,8.99463
Relaxed,4,10000,130.469,10.3395
Relaxed,4,12000,132.598,10.7472
Relaxed,4,14000,138.68,11.4059
Relaxed,4,16000,140.018,9.09695
Relaxed,4,18000,145.247,9.29037
Relaxed,4,20000,144.534,11.1568
Relaxed,4,22000,150.48,12.2613
Relaxed,4,24000,151.873,11.8048
Relaxed,4,26000,153.882,13.1559
Relaxed,4,28000,155.921,11.5862
Relaxed,4,30000,157.835,12.4032
Relaxed,4,32000,157.951,10.8942
Relaxed,4,34000,159.389,11.8979
Relaxed,4,36000,163.771,11.868
Relaxed,4,38000,164.556,12.6334
Relaxed,4,40000,167.195,12.2329
Relaxed,4,42000,163.676,11.5337
Relaxed,4,44000,169.202,13.9788
Relaxed,4,46000,171.232,11.843
Relaxed,4,48000,169.046,12.0437
Relaxed,4,50000,170.064,12.368
Relaxed,4,52000,172.952,15.2424
Relaxed,4,54000,176.582,14.6027
Relaxed,4,56000,172.896,12.3856
Relaxed,4,58000,176.684,12.7362
Relaxed,4,60000,177.487,15.1242
Relaxed,4,62000,175.326,13.1699
Relaxed,4,64000,177.273,12.9881
Relaxed,4,66000,180.811,13.2987
Relaxed,4,68000,176.615,11.2111
Relaxed,4,70000,180.889,14.2294
Relaxed,4,72000,180.497,12.3328
Relaxed,4,74000,183.68,15.3762
Relaxed,4,76000,181.85,13.7674
Relaxed,4,78000,184.71,15.2115
Relaxed,4,80000,184.481,14.1677
Relaxed,4,82000,185.352,15.529
Relaxed,4,84000,187.074,15.9021
Relaxed,4,86000,189.438,15.5735
Relaxed,4,88000,187.446,13.4769
Relaxed,4,90000,190.256,17.2808
Relaxed,4,92000,190.615,16.3394
Relaxed,4,94000,191.104,16.3296
Relaxed,4,96000,192.103,13.5201
Relaxed,4,98000,189.958,15.4986
Relaxed,4,100000,190.746,15.3461
