Type, K, N, Mean, Variance
Squarish,4,2000,64.9693,2.34683
Squarish,4,4000,71.6834,3.02225
Squarish,4,6000,74.6715,2.00002
Squarish,4,8000,77.5472,2.49308
Squarish,4,10000,79.3437,2.38609
Squarish,4,12000,80.9332,2.22642
Squarish,4,14000,82.1239,2.14662
Squarish,4,16000,82.8363,2.10326
Squarish,4,18000,84.1286,1.94594
Squarish,4,20000,84.6891,1.78627
Squarish,4,22000,85.3429,1.77767
Squarish,4,24000,85.4217,1.94787
Squarish,4,26000,86.4634,1.90737
Squarish,4,28000,87.0475,2.27894
Squarish,4,30000,87.8498,2.00129
Squarish,4,32000,87.905,1.77035
Squarish,4,34000,88.4228,1.79929
Squarish,4,36000,88.7497,1.7251
Squarish,4,38000,89.8796,1.83521
Squarish,4,40000,89.7392,1.73356
Squarish,4,42000,89.7846,1.6815
Squarish,4,44000,90.0032,1.62033
Squarish,4,46000,90.7563,1.83448
Squarish,4,48000,90.9502,1.74247
Squarish,4,50000,90.7883,1.58004
Squarish,4,52000,91.2119,1.44652
Squarish,4,54000,91.9809,1.74594
Squarish,4,56000,91.5979,1.68394
Squarish,4,58000,91.9233,1.72126
Squarish,4,60000,92.2604,1.78444
Squarish,4,62000,92.8529,1.64394
Squarish,4,64000,92.8801,1.90786
Squarish,4,66000,92.3363,1.35072
Squarish,4,68000,92.7842,1.53928
Squarish,4,70000,93.2932,1.53369
Squarish,4,72000,93.2548,1.63361
Squarish,4,74000,93.4353,1.58429
Squarish,4,76000,93.8372,1.5556
Squarish,4,78000,93.8344,1.48864
Squarish,4,80000,94.7455,1.75883
Squarish,4,82000,94.0679,1.58079
Squarish,4,84000,94.5123,1.54242
Squarish,4,86000,94.5269,1.47231
Squarish,4,88000,94.7665,1.46509
Squarish,4,90000,94.473,1.64776
Squarish,4,92000,94.7519,1.60591
Squarish,4,94000,94.7759,1.66542
Squarish,4,96000,95.4248,1.53721
Squarish,4,98000,95.4417,1.69539
Squarish,4,100000,95.6013,1.68052
