Type, K, N, Mean, Variance
Squarish,3,2000,35.4859,1.15354
Squarish,3,4000,38.3137,1.15214
Squarish,3,6000,39.7937,1.00343
Squarish,3,8000,40.8616,0.956039
Squarish,3,10000,41.6608,0.892851
Squarish,3,12000,42.3532,1.03694
Squarish,3,14000,42.8033,0.887713
Squarish,3,16000,43.0751,0.999345
Squarish,3,18000,43.5175,0.845372
Squarish,3,20000,44.0582,0.801234
Squarish,3,22000,44.1226,0.829249
Squarish,3,24000,44.5932,0.920591
Squarish,3,26000,44.632,0.784756
Squarish,3,28000,45.2117,1.03155
Squarish,3,30000,45.2619,0.867565
Squarish,3,32000,45.518,0.838424
Squarish,3,34000,45.7358,0.919087
Squarish,3,36000,45.8086,0.899054
Squarish,3,38000,45.9013,0.923813
Squarish,3,40000,46.2053,0.900937
Squarish,3,42000,46.4048,0.895615
Squarish,3,44000,46.4143,0.678797
Squarish,3,46000,46.3923,0.792587
Squarish,3,48000,46.6318,0.820535
Squarish,3,50000,46.9032,0.987645
Squarish,3,52000,46.9363,0.819896
Squarish,3,54000,46.964,0.832245
Squarish,3,56000,47.1759,0.905647
Squarish,3,58000,47.2126,0.735319
Squarish,3,60000,47.1442,0.84084
Squarish,3,62000,47.4892,0.969036
Squarish,3,64000,47.6162,0.839399
Squarish,3,66000,47.822,0.839811
Squarish,3,68000,47.7462,0.944405
Squarish,3,70000,47.6884,0.694098
Squarish,3,72000,47.946,0.90068
Squarish,3,74000,47.9258,2.56801
Squarish,3,76000,48.076,0.849527
Squarish,3,78000,48.1073,0.931298
Squarish,3,80000,48.244,0.831182
Squarish,3,82000,48.3208,0.922757
Squarish,3,84000,48.4292,0.686409
Squarish,3,86000,48.3133,0.922789
Squarish,3,88000,48.4404,0.812169
Squarish,3,90000,48.492,0.779417
Squarish,3,92000,48.5829,0.802466
Squarish,3,94000,48.5937,0.747953
Squarish,3,96000,48.7381,0.886412
Squarish,3,98000,48.7772,0.746016
Squarish,3,100000,49.0282,0.942869
