Type, K, N, Mean, Variance
Relaxed,2,2000,25.521,1.63739
Relaxed,2,4000,28.0092,1.85136
Relaxed,2,6000,29.5181,1.89889
Relaxed,2,8000,30.4131,1.81102
Relaxed,2,10000,31.4641,2.35399
Relaxed,2,12000,31.9586,2.19926
Relaxed,2,14000,32.8352,2.09255
Relaxed,2,16000,32.8036,1.93045
Relaxed,2,18000,33.4784,1.99114
Relaxed,2,20000,34.0204,2.25276
Relaxed,2,22000,34.5446,2.0403
Relaxed,2,24000,34.8427,2.14811
Relaxed,2,26000,34.9345,2.41309
Relaxed,2,28000,35.5383,2.64964
Relaxed,2,30000,35.6084,2.3218
Relaxed,2,32000,36.3312,2.26012
Relaxed,2,34000,36.0526,2.36744
Relaxed,2,36000,36.3947,2.23189
Relaxed,2,38000,36.8257,2.53439
Relaxed,2,40000,36.491,2.48713
Relaxed,2,42000,36.7796,2.14289
Relaxed,2,44000,37.3967,2.40278
Relaxed,2,46000,37.0612,2.59926
Relaxed,2,48000,37.3805,2.51122
Relaxed,2,50000,37.5655,2.3603
Relaxed,2,52000,37.6216,2.21015
Relaxed,2,54000,37.6798,2.35685
Relaxed,2,56000,38.1877,2.60772
Relaxed,2,58000,37.885,2.25057
Relaxed,2,60000,38.1695,2.28201
Relaxed,2,62000,38.2306,2.37327
Relaxed,2,64000,38.6399,2.4589
Relaxed,2,66000,38.6946,2.01737
Relaxed,2,68000,39.0359,2.63175
Relaxed,2,70000,38.8962,2.47042
Relaxed,2,72000,38.8397,2.18645
Relaxed,2,74000,39.0549,2.38396
Relaxed,2,76000,39.4022,2.5278
Relaxed,2,78000,39.7998,2.64294
Relaxed,2,80000,39.5482,2.53751
Relaxed,2,82000,40.1358,2.41402
Relaxed,2,84000,39.6091,2.13419
Relaxed,2,86000,39.6137,2.19253
Relaxed,2,88000,39.8923,2.56662
Relaxed,2,90000,39.7223,2.64261
Relaxed,2,92000,40.3165,2.59196
Relaxed,2,94000,40.3222,2.46426
Relaxed,2,96000,40.375,2.64226
Relaxed,2,98000,40.4086,2.42441
Relaxed,2,100000,40.8244,2.73557
