Type, K, N, Mean, Variance
Standard,2,2000,23.0273,0.994792
Standard,2,4000,24.7909,1.1005
Standard,2,6000,26.0437,0.932126
Standard,2,8000,26.8829,1.20874
Standard,2,10000,27.3981,0.884702
Standard,2,12000,27.9374,1.12978
Standard,2,14000,28.1914,1.09765
Standard,2,16000,28.4522,1.02488
Standard,2,18000,28.8455,1.12417
Standard,2,20000,29.3831,1.02245
Standard,2,22000,29.6192,1.04042
Standard,2,24000,29.6653,1.07968
Standard,2,26000,29.9133,1.11998
Standard,2,28000,30.1491,1.13785
Standard,2,30000,30.2702,1.15701
Standard,2,32000,30.6309,1.17035
Standard,2,34000,30.9324,1.28468
Standard,2,36000,31.0975,1.33769
Standard,2,38000,30.9858,1.13944
Standard,2,40000,31.0693,1.06259
Standard,2,42000,31.326,0.991795
Standard,2,44000,31.3794,1.0199
Standard,2,46000,31.716,1.1925
Standard,2,48000,31.7454,1.16754
Standard,2,50000,31.989,1.21826
Standard,2,52000,32.1208,1.19832
Standard,2,54000,31.9847,1.08907
Standard,2,56000,32.0746,1.17833
Standard,2,58000,32.0596,1.14309
Standard,2,60000,32.3653,1.10804
Standard,2,62000,32.5167,1.24441
Standard,2,64000,32.513,1.16874
Standard,2,66000,32.8591,1.4426
Standard,2,68000,32.4477,1.18069
Standard,2,70000,32.6396,1.15347
Standard,2,72000,32.5857,1.11121
Standard,2,74000,32.9843,1.20006
Standard,2,76000,32.7589,0.88634
Standard,2,78000,33.1023,1.14131
Standard,2,80000,33.2099,1.1215
Standard,2,82000,33.187,1.17926
Standard,2,84000,33.1826,1.16277
Standard,2,86000,33.2187,1.18213
Standard,2,88000,33.3752,1.35762
Standard,2,90000,33.2101,1.23284
Standard,2,92000,33.4398,1.35817
Standard,2,94000,33.3858,1.22319
Standard,2,96000,33.8039,1.2363
Standard,2,98000,33.9872,1.30888
Standard,2,100000,33.6548,1.13063
