Type, K, N, Mean, Variance
Relaxed,6,2000,270.091,14.199
Relaxed,6,4000,353.792,19.9858
Relaxed,6,6000,398.502,24.31
Relaxed,6,8000,442.368,25.5101
Relaxed,6,10000,472.481,28.0594
Relaxed,6,12000,506.607,32.1014
Relaxed,6,14000,526.306,32.7418
Relaxed,6,16000,544.765,31.4863
Relaxed,6,18000,557.89,34.7666
Relaxed,6,20000,578.329,36.2888
Relaxed,6,22000,592.365,38.2314
Relaxed,6,24000,608.399,39.7788
Relaxed,6,26000,618.32,45.2774
Relaxed,6,28000,628.563,38.8998
Relaxed,6,30000,656.569,42.8741
Relaxed,6,32000,658.154,37.9345
Relaxed,6,34000,670.362,48.6419
Relaxed,6,36000,678.254,45.0678
Relaxed,6,38000,682.066,46.8391
Relaxed,6,40000,699.169,49.3592
Relaxed,6,42000,705.813,47.744
Relaxed,6,44000,700.446,41.1159
Relaxed,6,46000,728.301,49.0059
Relaxed,6,48000,729.242,50.9614
Relaxed,6,50000,733.188,40.5132
Relaxed,6,52000,743.853,47.1483
Relaxed,6,54000,752.962,52.9334
Relaxed,6,56000,760.793,52.8587
Relaxed,6,58000,774.432,44.885
Relaxed,6,60000,766.959,45.164
Relaxed,6,62000,780.024,53.7065
Relaxed,6,64000,783.171,55.3441
Relaxed,6,66000,785.421,47.8052
Relaxed,6,68000,789.188,46.5296
Relaxed,6,70000,802.917,55.01
Relaxed,6,72000,800.901,50.3801
Relaxed,6,74000,811.713,54.5405
Relaxed,6,76000,820.986,51.1237
Relaxed,6,78000,820.257,61.1303
Relaxed,6,80000,833.927,49.7439
Relaxed,6,82000,833.213,60.6519
Relaxed,6,84000,839.534,57.3033
Relaxed,6,86000,838.452,50.7506
Relaxed,6,88000,845.452,49.3812
Relaxed,6,90000,852.588,51.8953
Relaxed,6,92000,855.524,50.1487
Relaxed,6,94000,867.487,47.468
Relaxed,6,96000,858.487,55.2677
Relaxed,6,98000,867.802,61.9397
Relaxed,6,100000,868.374,55.8142
